life,tv
Routine,3
Routine,4
Routine,3
Exciting,2
Exciting,3
Exciting,1
Exciting,2
Exciting,2
Exciting,3
Routine,1
Exciting,4
Exciting,17
Exciting,0
Exciting,1
Routine,1
Routine,3
Don't know,5
Routine,2
Routine,1
Dull,1
Dull,1
Exciting,4
Exciting,4
Exciting,2
Exciting,0
Routine,1
Exciting,2
Exciting,2
Exciting,2
Exciting,2
Don't know,0
Routine,1
Dull,2
Routine,2
Exciting,1
Exciting,1
Routine,2
Routine,20
Routine,1
Routine,2
Routine,3
Exciting,10
Routine,2
Routine,4
Exciting,1
Exciting,0
Routine,4
Routine,2
Exciting,1
Routine,2
Routine,6
Exciting,3
Exciting,10
Routine,3
Exciting,4
Routine,0
Exciting,6
Exciting,2
Routine,1
Exciting,1
Exciting,1
Exciting,3
Routine,7
Exciting,3
Exciting,4
Exciting,1
Exciting,2
Dull,4
Exciting,2
Routine,2
Exciting,8
Routine,1
Routine,6
Exciting,5
Routine,3
Exciting,0
Routine,2
Exciting,3
Routine,2
Exciting,4
Routine,2
Routine,2
Dull,0
Routine,6
Exciting,2
Dull,4
Routine,1
Exciting,2
Exciting,1
Exciting,1
Exciting,3
Routine,5
Exciting,2
Routine,3
Exciting,1
Exciting,2
Routine,2
Routine,2
Routine,8
Routine,4
Routine,4
Routine,2
Routine,2
Exciting,1
Exciting,2
Exciting,2
Routine,1
Routine,3
Routine,3
Routine,3
Routine,4
Exciting,2
Exciting,2
Routine,2
Routine,2
Routine,2
Exciting,0
Exciting,8
Routine,10
Exciting,2
Routine,2
Exciting,2
Exciting,2
Routine,1
Routine,1
Exciting,4
Routine,0
Dull,6
Exciting,4
Routine,4
Routine,5
Exciting,1
Routine,2
Exciting,3
Exciting,6
Exciting,4
Exciting,6
Routine,16
Exciting,2
Exciting,3
Exciting,2
Routine,3
Exciting,9
Routine,2
Routine,10
Routine,5
Routine,0
Exciting,6
Routine,1
Routine,4
Exciting,1
Exciting,3
Exciting,4
Routine,2
Exciting,1
Routine,4
Routine,4
Routine,6
Routine,2
Routine,7
Routine,4
Routine,3
Exciting,2
Routine,1
Routine,6
Routine,4
Routine,7
Routine,4
Routine,1
Routine,2
Routine,6
Routine,3
Routine,2
Exciting,0
Exciting,2
Exciting,1
Exciting,0
Exciting,1
Exciting,1
Exciting,4
Exciting,3
Exciting,2
Routine,3
Routine,11
Routine,12
Exciting,0
Exciting,2
Exciting,1
Exciting,2
Exciting,4
Routine,2
Routine,3
Exciting,2
Exciting,2
Routine,3
Routine,6
Routine,8
Exciting,1
Routine,2
Routine,6
Exciting,1
Exciting,1
Routine,3
Routine,2
Exciting,3
Routine,1
Exciting,1
Routine,2
Routine,3
Dull,1
Routine,6
Routine,1
Exciting,2
Exciting,1
Exciting,2
Routine,10
Routine,3
Routine,1
Routine,5
Exciting,2
Exciting,0
Exciting,2
Exciting,1
Exciting,3
Routine,1
Exciting,3
Routine,0
Exciting,2
Exciting,2
Routine,1
Exciting,2
Exciting,1
Routine,5
Exciting,0
Exciting,3
Routine,3
Routine,1
Exciting,4
Exciting,0
Exciting,0
Routine,1
Routine,1
Exciting,3
Don't know,1
Exciting,12
Routine,0
Routine,1
Routine,2
Routine,2
Exciting,3
Dull,8
Exciting,1
Routine,1
Exciting,5
Routine,4
Exciting,2
Routine,4
Routine,2
Exciting,3
Routine,2
Exciting,2
Routine,2
Routine,3
Exciting,2
Routine,2
Exciting,1
Routine,0
Exciting,6
Exciting,2
Dull,3
Routine,1
Exciting,2
Routine,2
Routine,8
Routine,1
Exciting,1
Exciting,2
Routine,2
Dull,1
Routine,2
Routine,3
Dull,4
Exciting,2
Exciting,8
Routine,0
Exciting,3
Exciting,2
Routine,4
Exciting,2
Exciting,4
Routine,2
Exciting,2
Routine,2
Routine,3
Routine,2
Exciting,2
Exciting,2
Routine,0
Dull,5
Exciting,2
Dull,4
Routine,1
Routine,4
Exciting,2
Exciting,1
Exciting,1
Exciting,3
Exciting,4
Exciting,1
Exciting,0
Routine,2
Exciting,1
Exciting,2
Routine,4
Dull,4
Routine,3
Routine,2
Exciting,2
Dull,4
Exciting,1
Routine,6
Dull,6
Routine,8
Routine,3
Routine,3
Routine,2
Exciting,4
Exciting,3
Routine,3
Routine,1
Routine,5
Exciting,5
Routine,2
